Marca temporal,Genero,Origen,Edad,¿Eres económicamente independiente? ,Clima,Cantidad_plantas,Parte_predominante_casa,Conocimiento_sobre_plantas,Plantas_recomendadas,Mascotas_infantes,Adquisicion_plantas,Atencion_plantas,Respuesta_planta_mustia,Prefiere_florecer,Preferencia_tonos,Tiempo_para_ti,Paciencia,Sentimientos_adquisicion,Duracion_plantas,Tipo_vivienda
2024/05/04 10:28:39 p. m. EEST,Mujer,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Interior,Tengo nociones básicas,Cinta;Filodendro;Costilla de Adán;Pilea;Violeta africana;Pothos;Orquídea phalaenopsis;Cactus de jade;Ficus benjamina;Aloe vera;Cactus de bola;Haworthia;Echeveria;Hiedra inglesa;Dracaena marginata;Croton;Salvia;Petunia,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo",Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Realización,Meses,Apartamento
2024/05/04 10:38:42 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Violeta africana;Sedum;Planta de araña;Palmera de bambú;Lavanda;Salvia;Geranio;Petunia;Fucsia;Caléndula,No,Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 10:44:11 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Costilla de Adán;Peperomia;Fittonia;Pilea;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Ficus benjamina;Aloe vera;Aeonium;Kalanchoe;Hiedra inglesa;Philodendron;Palmera de bambú;Dieffenbachia;Dracaena marginata;Lavanda;Salvia;Petunia;Fucsia;Caléndula,"Sí, son tóxicas","Decoración;Mejorar la calidad del aire;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo",Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 10:46:09 p. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Ambos por igual,Tengo nociones básicas,Pothos,No,Decoración,Cuando me acuerdo,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,No,Indiferencia,Semanas,Chalet
2024/05/04 10:54:37 p. m. EEST,Hombre,España,26 – 30,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Tengo nociones básicas,Cinta;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Geranio;Petunia,"Sí, son tóxicas",Mejorar la calidad del aire;Perfumar el entorno;Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 11:03:33 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Tengo nociones básicas,Cinta;Pothos,"Sí, pueden clavárselas",Decoración;Mejorar la calidad del aire;La planté de cero,Les hago bastante caso,Le echo agua,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 11:11:32 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Me he informado bastante,Cinta;Pothos;Aloe vera;Hiedra inglesa;Palmera de bambú;Lavanda,"Sí, tiran de las hojas y las tiran (o lo intentan)","Decoración;Mejorar la calidad del aire;Para mi mascota;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Le echo agua,Me es indiferente,Cálidos,Tengo bastante tiempo libre,Si,Realización,Años,Chalet
2024/05/04 11:28:23 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Ambos por igual,Tengo nociones básicas,Cactus de jade;Ficus benjamina;Aloe vera;Cactus de bola;Hiedra inglesa,"Sí, pueden clavárselas",Decoración;Fue un regalo,Cuando me acuerdo,Nunca se me ponen mustias,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Adosado
2024/05/04 11:30:48 p. m. EEST,Hombre,España,31 – 48,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Tengo nociones básicas,Cinta;Helecho de Boston;Begonia rex;Tradescantia;Fittonia;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Aloe vera;Cactus de bola;Echeveria;Kalanchoe;Planta de araña;Lavanda;Salvia;Astilbe;Geranio;Petunia;Begonia;Caléndula,No,Decoración;Fue un regalo;La planté de cero,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 11:37:31 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Cinta;Tradescantia;Palo de Brasil;Pothos;Cactus de jade;Echeveria,"Sí, son tóxicas",Decoración;Fue un regalo,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,No tengo tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 11:37:53 p. m. EEST,Hombre,España,Menos de 18 años,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Tengo nociones básicas,Violeta africana;Orquídea phalaenopsis;Echeveria,No,Decoración,Cuando me acuerdo,Le echo agua,Si,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 11:42:00 p. m. EEST,Mujer,España,49 – 59,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",2-5,Exterior,Nada,Peperomia;Tradescantia;Cactus de Navidad;Palo de Brasil;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Agave;Dracaena marginata,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 2:25:38 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Interior,Tengo nociones básicas,Cinta;Costilla de Adán;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge,"Sí, son tóxicas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 2:29:04 p. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Me he informado bastante,Cinta;Helecho de Boston;Palo de Brasil;Aloe vera;Lavanda;Geranio,"Sí, son tóxicas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 2:40:04 p. m. EEST,Hombre,España,26 – 30,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Tengo nociones básicas,Tradescantia;Violeta africana;Orquídea phalaenopsis,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Le hecho agua,Si,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 2:40:36 p. m. EEST,Hombre,España,26 – 30,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",+10,Exterior,Nada,Cactus de bola,No,Decoración;Fue un regalo,Cuando me acuerdo,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 2:41:31 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Costilla de Adán;Tradescantia;Violeta africana;Orquídea phalaenopsis;Ficus benjamina;Echeveria;Philodendron;Dracaena marginata;Begonia,No,Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 2:43:47 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Exterior,Tengo nociones básicas,Orquídea phalaenopsis;Aloe vera;Lavanda;Hierbabuena,"Sí, son tóxicas",Mejorar la calidad del aire;Perfumar el entorno;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Adosado
2024/05/04 2:44:22 p. m. EEST,Hombre,LATAM,26 – 30,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",0,Exterior,Tengo nociones básicas,Begonia rex;Pilea;Cactus de Navidad;Aloe vera;Croton,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Les hago bastante caso,Le hecho agua,Si,Fríos,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 2:45:34 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",0,Exterior,Nada,Espatifilo;Costilla de Adán;Violeta africana;Orquídea phalaenopsis;Aloe vera;Echeveria;Planta de araña;Salvia;Astilbe;Geranio;Petunia;Fucsia;Begonia;Caléndula,No,Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 2:45:49 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",0,Exterior,Tengo nociones básicas,Espatifilo;Costilla de Adán;Orquídea phalaenopsis;Petunia;Fucsia;Begonia,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 2:51:29 p. m. EEST,Hombre,España,26 – 30,Sí,Mediterraneo templado (Navarra),6-10,Interior,Tengo nociones básicas,Cinta;Filodendro;Costilla de Adán;Violeta africana;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Echeveria;Agave;Planta de araña;Philodendron;Lavanda;Salvia;Petunia;Fucsia;Begonia,No,Decoración;Me la recomendaron,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 2:51:50 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Filodendro;Peperomia;Fittonia;Cactus de Navidad;Violeta africana;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Echeveria;Nephthytis;Salvia;Begonia,No,Decoración;Fue un regalo;Me la recomendaron,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo bastante tiempo libre,Si,Realización,Meses,Chalet
2024/05/04 2:54:40 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Ambos por igual,Tengo nociones básicas,Palo de Brasil;Planta de serpiente/ Espada de San Jorge;Ficus benjamina;Haworthia;Aeonium;Echeveria,No,Decoración,Les hago bastante caso,Le hecho agua,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 2:55:39 p. m. EEST,Mujer,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Costilla de Adán;Pothos;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Cactus de bola;Echeveria;Planta de araña;Hiedra inglesa,"Sí, son tóxicas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 2:56:54 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Palo de Brasil;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Cactus de bola;Haworthia;Echeveria,No,Decoración;Perfumar el entorno;La planté de cero,Les hago bastante caso,Le hecho agua,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Realización,Meses,Chalet
2024/05/04 2:57:04 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Exterior,Tengo nociones básicas,Costilla de Adán;Begonia rex;Fittonia;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Sedum;Aeonium;Echeveria;Kalanchoe;Lavanda;Salvia;Astilbe;Geranio;Petunia;Fucsia;Begonia;Caléndula;Amapolas y rosales,No,Decoración;Mejorar la calidad del aire;Fue un regalo;Me la recomendaron,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Me es indiferente,No tengo tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 2:57:32 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Ambos por igual,Tengo nociones básicas,Cactus de jade;Ficus benjamina;Planta de araña;Philodendron;Geranio;Begonia,"Sí, pueden clavárselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Adosado
2024/05/04 3:01:41 p. m. EEST,Hombre,España,31 – 48,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Ambos por igual,Nada,Aloe vera;Cactus de bola,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Cuando me acuerdo,Le hecho agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:03:57 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Tengo nociones básicas,Cinta;Crasula/ Suculenta de Jade;Ficus benjamina;Dracaena marginata;Lavanda;Geranio,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Me deshago de ella,Si,Cálidos,No tengo tiempo libre,No,Alegría,Meses,Chalet
2024/05/04 3:04:05 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Exterior,Nada,Echeveria,"Sí, intentan comérselas",Fue un regalo,Cuando me acuerdo,Me deshago de ella,Me es indiferente,Fríos,Tengo bastante tiempo libre,No,Indiferencia,Meses,Apartamento
2024/05/04 3:06:21 p. m. EEST,Hombre,España,18 – 25,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",0,Ambos por igual,Nada,Pilea,No,Decoración,La verdad que no,Le hecho agua,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,No,Alegría,Meses,Apartamento
2024/05/04 3:11:30 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Geranio;Petunia;Fucsia,No,Mejorar la calidad del aire,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 3:13:16 p. m. EEST,Hombre,LATAM,31 – 48,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",+10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Filodendro;Costilla de Adán;Begonia rex;Tradescantia;Fittonia;Pilea;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Agave;Planta de araña;Philodendron;Palmera de bambú;Dieffenbachia;Croton;Hosta,No,"Decoración;Mejorar la calidad del aire;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;La planté de cero;Me la recomendaron",Todos los días compruebo su estado,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 3:15:17 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Ambos por igual,Nada,Planta de serpiente/ Espada de San Jorge;Dieffenbachia;Salvia,No,Decoración;Mejorar la calidad del aire;Fue un regalo,Les hago bastante caso,Le hecho agua,Si,Cálidos,Tengo algo de tiempo libre,No,Indiferencia,Años,Apartamento
2024/05/04 3:15:43 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",6-10,Exterior,Tengo nociones básicas,Espatifilo;Peperomia;Violeta africana;Orquídea phalaenopsis;Salvia;Astilbe;Geranio;Petunia;Caléndula;Tulipán ,No,Decoración,Cuando me acuerdo,Le hecho agua,Si,Fríos,Tengo bastante tiempo libre,Si,Alegría,Meses,Chalet
2024/05/04 3:15:46 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Crasula/ Suculenta de Jade;Palmera de bambú;Geranio,No,Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 3:16:21 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Nada,Helecho de Boston;Filodendro;Costilla de Adán;Begonia rex;Fittonia;Pilea;Palo de Brasil;Violeta africana;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Haworthia;Sedum;Aeonium;Echeveria;Kalanchoe;Hiedra inglesa;Palmera de bambú;Dieffenbachia;Croton;Lavanda;Salvia;Hosta;Geranio;Petunia;Fucsia;Begonia;Caléndula,No,La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,No,Alegría,Años,Apartamento
2024/05/04 3:17:02 p. m. EEST,Hombre,Rumania,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Ambos por igual,Tengo nociones básicas,Ficus benjamina;Aloe vera;Cactus de bola;Haworthia,"Sí, intentan comérselas",Decoración;Fue un regalo,Cuando me acuerdo,Le hecho agua,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:17:23 p. m. EEST,Hombre,España,26 – 30,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Tengo nociones básicas,Costilla de Adán;Begonia rex;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Salvia;Geranio,"Sí, pueden clavárselas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 3:18:14 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Exterior,Tengo nociones básicas,Begonia rex;Fittonia;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Aloe vera;Kalanchoe;Geranio;Petunia;Begonia;Caléndula,"Sí, pueden clavárselas",Decoración;Mejorar la calidad del aire;Perfumar el entorno,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:18:57 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",0,Exterior,Nada,Crasula/ Suculenta de Jade;Echeveria,No,Decoración,La verdad que no,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Chalet
